Экран Авторизация,
Название раздела Авторизация Status Комментарий,
1,Отображается поле с плейсхолдером имя или логин
2,Поле имя или логин обязательно для заполнения
3,Отображается поле с плейсхолдером пароль
4,Поле пароль обязательно для заполнения
5,"Кнопка Войти становится активной в случае верного заполнения полей логин или имя, пароль"
6,"Кнопка Войти остается не активной в случае не валидного значения в полях логин или имя, пароль"
7,В случае не валидного заполнения полей логин появляется сообщение красного цвета неверный формат данных
8,"В случае отсутствия подключения к сети интернет, поля для ввода и кнопка становятся не активными"
9,В случае отсутствия подключения к сети интернет появляется тоаст отутствует подключение
10,На экране авторизации находится кнопка Зарегистрироваться
11,На экране авторизации находится кнопка Забыли пароль?
12,"После успешной авторизации пользователь попадает на экран ""Что вы хотите приготовить?"""
13,"На экране отображается название раздела ""Авторизация"""
Экран Регистрация,
Название раздела Регистрация Status Комментарий,
14,Отображается поле с плейсхолдером имя и является обязательным для заполнения
15,Отображается поле с плейсхолдером логин и является обязательным для заполнения
16,Отображается поле с плейсхолдером пароль и является обязательным для заполнения
17,На экране регистрации находится кнопка зарегистрироваться
18,"Тоаст “Отсутствует подключение” отображается, если пользователь пытается зарегистрироваться с отключенным соединением с сетью"
19,Кнопка “Зарегистрироваться” становятся не активной при отсутствии подключения к сети интернет
20,"В случае заполнения не валидными значениями полей логин,имя появляется сообщение красного цвета неверный формат данных"
21,"Поля для ввода ""Имя"",""Логин"", ""Пароль"" становятся не активными при отсутствии подключения к сети интернет"
22,В случае отсутствия подключения к сети интернет появляется тоаст отутствует подключение
23,"После успешной регистрации пользователь попадает на экран ""Что вы хотите приготовить?"""
24,"На экране отображается название раздела ""Регистрация"""
Экран Что вы хотите приготовить,
Название раздела Что вы хотите приготовить Status Комментарий,
25,Отображается поле с плейсхолдером Найти рецепт
26,На экране находится карусель Популярное
27,При тапе на рецепт открывается карточка рецепта
28,На экране отображаются табы
29,На экране отображается кнопка создать рецепт
30,"При нажатии на кнопку создать рецепт, открывается экран создания рецепта"
31,"На экране отображается название раздела ""Что вы хотите приготовить?"""
Название раздела Создать рецепт Status Комментарий,
32,Отображаются табы: ингридиенты и шаги
33,Таб ингридиенты содержит поля с названиями ингридиентов
34,Добавление ингридиента тапом кнопки еще ингридиент
35,Количество или вес ингридиента задаются с помощью кнопок
36,Тап шаги содержит описание каждого шага в виде карточки
37,Карточка шага редактируется после нажатия соответствующий кнопки
38,Шаги добаляются тапом кнопки добавить шаг
39,Шаги сохраняются тапом на кнопку сохранить
40,"На экране отображается название раздела ""Создать рецепт"""
Экран создания рецепта,
Название раздела Таббар Status Комментарий,
41,"В Таббаре располагаются кнопки “Поиск”, “Избранное”, “Корзина”."
42,При тапе на Поиск открывается экран поиска
43,При тапе на Избранное открывается экран с избранными рецептами
44,"При тапе на Корзину открывается экран ""Список покупок""
 с ингредиентами, которые необходимо купить"
Экран Избранное,
Название раздела Избранное Status Комментарий,
45,"На экране отображается название раздела ""Избранное"""
46,В разделе отображается список избранных рецептов
47,При тапе на карточку рецепта открывается экран с рецептом
48,"Экран с рецептом содержит - фото готового блюда, название блюда, рейтинг, время приготовления, количество и состав ингридиентов, шаги приготовления."
Экран поиска,
Название раздела Что вы хотите приготовить? Status Комментарий,
49,Отображается поле с плейсхолдером Найти рецепт
50,При нажатии на кнопку Фильтры открывается блок с фильтрами
51,Момент открытия блока с фильтрами в виде анимации - часть блока с рецептами съезжает вниз
Экран список покупок,
Название раздела список покупок Status Комментарий,
52,"На экране отображается название раздела ""Список покупок"""
53,Список отображается в виде чекбоксов с названием ингридиентов
54,Под каждым названием ингридента отображается его количество или вес
55,На экране отображается meatball menu
